,MSN,StateCode,Year,Data
1504791,TERPB,AK,2017,71.8
1504849,TERPB,AL,2017,66.4
1504907,TERPB,AR,2017,67.3
1504965,TERPB,AZ,2017,56.9
1505023,TERPB,CA,2017,35.9
1505081,TERPB,CO,2017,61.1
1505139,TERPB,CT,2017,64.3
1505197,TERPB,DC,2017,55.2
1505255,TERPB,DE,2017,62.4
1505313,TERPB,FL,2017,56.1
1505371,TERPB,GA,2017,64.0
1505429,TERPB,HI,2017,23.9
1505487,TERPB,IA,2017,70.2
1505545,TERPB,ID,2017,78.2
1505603,TERPB,IL,2017,69.7
1505661,TERPB,IN,2017,74.7
1505719,TERPB,KS,2017,70.6
1505777,TERPB,KY,2017,74.5
1505835,TERPB,LA,2017,66.9
1505893,TERPB,MA,2017,59.7
1505951,TERPB,MD,2017,64.1
1506009,TERPB,ME,2017,74.6
1506067,TERPB,MI,2017,72.6
1506125,TERPB,MN,2017,69.3
1506183,TERPB,MO,2017,77.0
1506241,TERPB,MS,2017,59.6
1506299,TERPB,MT,2017,90.8
1506357,TERPB,NC,2017,63.2
1506415,TERPB,ND,2017,91.5
1506473,TERPB,NE,2017,76.2
1506531,TERPB,NH,2017,74.0
1506589,TERPB,NJ,2017,60.3
1506647,TERPB,NM,2017,53.5
1506705,TERPB,NV,2017,55.4
1506763,TERPB,NY,2017,53.8
1506821,TERPB,OH,2017,71.9
1506879,TERPB,OK,2017,69.6
1506937,TERPB,OR,2017,63.7
1506995,TERPB,PA,2017,68.1
1507053,TERPB,RI,2017,53.5
1507111,TERPB,SC,2017,69.9
1507169,TERPB,SD,2017,76.7
1507227,TERPB,TN,2017,74.1
1507285,TERPB,TX,2017,57.9
1507343,TERPB,US,2017,61.1
1507401,TERPB,UT,2017,56.3
1507459,TERPB,VA,2017,65.4
1507517,TERPB,VT,2017,69.4
1507575,TERPB,WA,2017,67.9
1507633,TERPB,WI,2017,71.5
1507691,TERPB,WV,2017,79.1
1507749,TERPB,WY,2017,88.5
1516907,TETPB,AK,2017,822.0
1516965,TETPB,AL,2017,389.9
1517023,TETPB,AR,2017,352.2
1517081,TETPB,AZ,2017,209.3
1517139,TETPB,CA,2017,200.0
1517197,TETPB,CO,2017,260.5
1517255,TETPB,CT,2017,203.2
1517313,TETPB,DC,2017,240.9
1517371,TETPB,DE,2017,281.9
1517429,TETPB,FL,2017,200.6
1517487,TETPB,GA,2017,269.1
1517545,TETPB,HI,2017,199.0
1517603,TETPB,IA,2017,495.9
1517661,TETPB,ID,2017,322.2
1517719,TETPB,IL,2017,302.8
1517777,TETPB,IN,2017,405.5
1517835,TETPB,KS,2017,368.7
1517893,TETPB,KY,2017,372.3
1517951,TETPB,LA,2017,959.5
1518009,TETPB,MA,2017,207.5
1518067,TETPB,MD,2017,218.2
1518125,TETPB,ME,2017,293.6
1518183,TETPB,MI,2017,278.1
1518241,TETPB,MN,2017,329.1
1518299,TETPB,MO,2017,282.6
1518357,TETPB,MS,2017,393.5
1518415,TETPB,MT,2017,399.4
1518473,TETPB,NC,2017,243.7
1518531,TETPB,ND,2017,835.8
1518589,TETPB,NE,2017,456.8
1518647,TETPB,NH,2017,235.2
1518705,TETPB,NJ,2017,240.2
1518763,TETPB,NM,2017,326.5
1518821,TETPB,NV,2017,237.9
1518879,TETPB,NY,2017,188.1
1518937,TETPB,OH,2017,312.4
1518995,TETPB,OK,2017,418.0
1519053,TETPB,OR,2017,248.9
1519111,TETPB,PA,2017,297.7
1519169,TETPB,RI,2017,174.0
1519227,TETPB,SC,2017,327.3
1519285,TETPB,SD,2017,440.7
1519343,TETPB,TN,2017,322.9
1519401,TETPB,TX,2017,471.9
1519459,TETPB,US,2017,300.2
1519517,TETPB,UT,2017,267.0
1519575,TETPB,VA,2017,272.0
1519633,TETPB,VT,2017,215.8
1519691,TETPB,WA,2017,282.4
1519749,TETPB,WI,2017,311.8
1519807,TETPB,WV,2017,416.3
1519865,TETPB,WY,2017,884.8
